epoch,loss,train_acc,train_f1,train_fpr,train_fnr,val_acc,val_f1,val_fpr,val_fnr,status
1,0.2154,96.62179487179488,96.67108837091783,4.8589743589743595,1.8974358974358976,94.61965811965813,94.73904141072249,7.64957264957265,3.111111111111111,✓ best
2,0.0954,98.03479853479854,98.06051623165352,3.291208791208791,0.6391941391941391,95.1923076923077,95.31503768791904,7.427350427350428,2.1880341880341883,✓ best
3,0.0574,98.9441391941392,98.95152270185234,1.76007326007326,0.3516483516483516,95.74358974358974,95.82424953882274,6.188034188034188,2.324786324786325,✓ best
4,0.0351,99.5558608058608,99.55510709535385,0.27472527472527475,0.6135531135531136,96.24786324786325,96.2249548542437,3.1452991452991457,4.358974358974359,✓ best
5,0.022,99.42124542124542,99.41828356835168,0.0695970695970696,1.087912087912088,95.71794871794872,95.63854792373988,2.4615384615384617,6.102564102564102,patience 1/5
6,0.0162,99.74725274725274,99.7469561390641,0.13553113553113552,0.36996336996337,96.32478632478633,96.30615926466798,3.1709401709401708,4.17948717948718,✓ best
7,0.0125,99.9010989010989,99.90110976815735,0.10989010989010989,0.0879120879120879,96.14957264957265,96.14677329683958,3.7777777777777777,3.923076923076923,patience 1/5
8,0.0102,99.90201465201464,99.90206935686109,0.15384615384615385,0.04212454212454213,96.05555555555556,96.08250923135691,4.632478632478632,3.256410256410256,patience 2/5
9,0.0077,99.91208791208791,99.91212332027388,0.1282051282051282,0.047619047619047616,96.12393162393163,96.13763147809054,4.230769230769231,3.5213675213675217,patience 3/5
10,0.0068,99.9624542124542,99.9624600565846,0.05311355311355311,0.021978021978021976,96.15811965811966,96.16254748794127,3.9572649572649574,3.7264957264957266,patience 4/5
11,0.0056,99.95879120879121,99.95880365823515,0.07142857142857142,0.010989010989010988,96.02991452991454,96.05603905752494,4.632478632478632,3.307692307692308,patience 5/5
